IMAGE_FILENAME,INSECT_ID,DATASET,DPI,DRYMASS_MG,SPLIT,SPLIT_OLD,IS_VALID,w_estimate,nl_estimate,NOTES,ORIGINAL_IMAGE_FILENAME,SCALE,ROI_SIZE_MM,BF_cbrMG_MM,NON_TRANSPARENT_PIXELS,AREA_MM2,BF_PRED
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.761904761904762,2.333625,0.205320900190167,39483,2.48758323046875,0.20330680906772614
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.848484848484849,2.0955,0.228652820666322,23748,1.496216765625,0.22528092563152313
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.914285714285714,1.9446875,0.2463850802282,18001,1.13413331640625,0.23416267335414886
00_data/02_resized/EntoScan/crop_2025-05-07_001_A1_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A1,EntoScan,3200.0,0.11,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A1_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,1.10891089108911,1.603375,0.298833389385689,17251,1.08688038671875,0.2814873158931732
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.549019607843137,3.2385,0.14332526890884,61503,3.87492924609375,0.13428042829036713
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.586387434554974,3.032125,0.153080391923578,61006,3.8436163046875,0.14634422957897186
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.70440251572327,2.524125,0.183889024260398,35380,2.229078203125,0.19059018790721893
00_data/02_resized/EntoScan/crop_2025-05-07_001_A2_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A2,EntoScan,3200.0,0.1,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A2_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.453441295546559,3.921125,0.118373906305277,34636,2.182203296875,0.11390045285224915
00_data/02_resized/EntoScan/crop_2025-05-07_001_A4_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A4_14-50-10_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.562814070351759,3.159125,0.175354196391547,76814,4.8395820546875,0.16836169362068176
00_data/02_resized/EntoScan/crop_2025-05-07_001_A4_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A4_14-55-44_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.597333333333333,2.9765625,0.186109253770229,68678,4.3269822734375,0.1871727555990219
00_data/02_resized/EntoScan/crop_2025-05-07_001_A4_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A4_15-01-34_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.64,2.778125,0.199402771896674,52548,3.310729265625,0.19248679280281067
00_data/02_resized/EntoScan/crop_2025-05-07_001_A4_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.jpg,2025-05-07_001_A4,EntoScan,3200.0,0.17,train,train,True,,,,00_data/01_segmented/EntoScan/crop_2025-05-07_001_A4_15-06-27_CROPNUMBER_0_UUID_ChangeThisTEMPORARY.png,0.612021857923497,2.905125,0.190685710830152,49834,3.1397366640625,0.189166858792305
